subject,date,probe,neuron_id,region,allen_acronym,x,y,z,p_object,p_goal,p_interaction,eta2_object,eta2_goal,eta2_interaction,n_encounters,t_win_start_s,t_win_end_s
466395,20241114,probe00,168,PERI,PERI2/3,-4657.169973183067,-3121.3871523581383,-4003.816928852773,0.17378696489075976,0.6344633565561685,0.6787606784922651,0.01616692281473063,0.001989685108004074,0.0015100702420876625,118,0.5,1.0
466395,20241114,probe00,169,PERI,PERI2/3,-4655.0020644889955,-3121.1953911914484,-3995.3567312803057,0.9937682043769193,0.6450834312025784,0.38249656402765664,5.37470855643567e-07,0.001867443185414954,0.00669688736747299,118,0.5,1.0
466395,20241114,probe00,170,PERI,PERI2/3,-4655.0020644889955,-3121.1953911914484,-3995.3567312803057,0.7163822879557808,0.9467831659633498,0.10633715091203172,0.001162179644285629,3.925130478282899e-05,0.022714123270961357,118,0.5,1.0
466395,20241114,probe00,171,PERI,PERI2/3,-4657.169973183067,-3121.3871523581383,-4003.816928852773,0.3034959193048681,0.35826469303165287,0.7119848784528376,0.009284873228774977,0.007408162603343118,0.001200169903512465,118,0.5,1.0
466395,20241114,probe00,172,PERI,PERI2/3,-4657.169973183067,-3121.3871523581383,-4003.816928852773,0.6997539667494056,0.40283250470370036,0.4644648365018368,0.0013095067681695414,0.006147076301010079,0.004703508279191003,118,0.5,1.0
466395,20241114,probe00,185,PERI,PERI2/3,-4652.834162104357,-3121.003630582856,-3986.8965583302097,0.25296352280809636,0.7990862078388878,0.6678809068436167,0.011448012777157613,0.0005706285630652115,0.0016206149043179194,118,0.5,1.0
466395,20241114,probe00,189,PERI,PERI5,-4646.33044864101,-3120.428348198981,-3961.516014857549,0.09229674827854216,4.3038798290540697e-05,0.16753732676616137,0.024658279150310485,0.13706245202110437,0.01664244273656858,118,0.5,1.0
466395,20241114,probe00,191,PERI,PERI5,-4648.498351025648,-3120.620108807573,-3969.976187807645,0.13695647487123375,0.8048125478494772,0.5874950630294061,0.019298478952040666,0.0005379123934329402,0.00258933000986359,118,0.5,1.0
466395,20241114,probe00,196,PERI,PERI5,-4646.33044864101,-3120.428348198981,-3961.516014857549,0.4197547485973444,0.4921980991575783,0.9850850774168677,0.0057192133495506895,0.004147430182060941,3.0790144675294372e-06,118,0.5,1.0
466395,20241114,probe00,198,PERI,PERI5,-4646.33044864101,-3120.428348198981,-3961.516014857549,0.018447642653079334,0.8567045022662662,0.3674263264903024,0.04774738246183086,0.00028723171483698305,0.007131630539656976,118,0.5,1.0
466395,20241114,probe00,199,PERI,PERI5,-4646.33044864101,-3120.428348198981,-3961.516014857549,0.13692361735870337,0.33501718565507566,0.021121112501718425,0.019301677701596208,0.008155065271005655,0.045762359174746914,118,0.5,1.0
466395,20241114,probe00,203,PERI,PERI5,-4646.33044864101,-3120.428348198981,-3961.516014857549,0.8187522999093527,0.5807094348205923,0.07586607073888338,0.00046252933060129795,0.0026843719601204355,0.027382401081419462,118,0.5,1.0
466395,20241114,probe00,206,PERI,PERI5,-4646.33044864101,-3120.428348198981,-3961.516014857549,0.8037457063448397,0.05378862176991686,0.4924501840643928,0.0005439298650432925,0.03223693022925232,0.004142611608126579,118,0.5,1.0
466395,20241114,probe00,207,PERI,PERI5,-4648.498351025648,-3120.620108807573,-3969.976187807645,0.32795976909035096,0.45823938748406645,0.3642192390905282,0.008395614729120806,0.004835718146183204,0.007227345913205423,118,0.5,1.0
466395,20241114,probe00,210,PERI,ECT5,-4636.561640853271,-3119.564253699213,-3923.39354034664,0.2771190354593785,0.01170864956677618,0.37585870265369914,0.010352634485129335,0.05444644327621611,0.006885381808060518,118,0.5,1.0
466395,20241114,probe00,212,PERI,ECT5,-4636.561640853271,-3119.564253699213,-3923.39354034664,0.906094744101992,0.7349103582443064,0.17206093435721204,0.00012259863346397197,0.0010096173598499896,0.016296287495071407,118,0.5,1.0
466395,20241114,probe00,215,PERI,ECT5,-4642.689240186066,-3120.106267115312,-3947.306309893683,0.9776693478627845,0.10065555535188424,0.2524884851748924,6.9029468680190995e-06,0.02346546466922971,0.011470827068695325,118,0.5,1.0
466395,20241114,probe00,218,PERI,ECT5,-4636.561640853271,-3119.564253699213,-3923.39354034664,0.46507146787253495,0.0794184465131763,0.6759076689748206,0.004690775084602104,0.026743399613793073,0.0015386152476594965,118,0.5,1.0
466395,20241114,probe00,220,PERI,ECT5,-4636.561640853271,-3119.564253699213,-3923.39354034664,0.00072956331407232,0.00025993595116867495,0.0018681852631056471,0.09565550487617527,0.1108759047475965,0.08170493804750702,118,0.5,1.0
