start_times,end_times,start_indexes,end_indexes,prob,best_channel,subject,date,probe
3980.9984,3981.0296,937072,937111,0.9899628,314,459601,20240411,probe01
3997.3055999999997,3997.3368,957456,957495,0.99072313,314,459601,20240411,probe01
4003.1679999999997,4003.1864,964784,964807,0.9925043,314,459601,20240411,probe01
4015.3472,4015.3656,980008,980031,0.99526334,314,459601,20240411,probe01
4036.3199999999997,4036.3448,1006224,1006255,0.98328507,314,459601,20240411,probe01
4037.2544,4037.2727999999997,1007392,1007415,0.98993635,314,459601,20240411,probe01
4058.6304,4058.6552,1034112,1034143,0.98991305,314,459601,20240411,probe01
4071.2768,4071.2952,1049920,1049943,0.99048334,314,459601,20240411,probe01
4081.6639999999998,4081.6823999999997,1062904,1062927,0.9911795,314,459601,20240411,probe01
4092.864,4092.8824,1076904,1076927,0.9876765,314,459601,20240411,probe01
4127.5328,4127.5576,1120240,1120271,0.99438983,314,459601,20240411,probe01
4188.6848,4188.7032,1196680,1196703,0.9903748,314,459601,20240411,probe01
4197.9968,4198.0216,1208320,1208351,0.9921921,314,459601,20240411,probe01
4220.5824,4220.6136,1236552,1236591,0.9906494,314,459601,20240411,probe01
4234.3744,4234.3992,1253792,1253823,0.9882405,314,459601,20240411,probe01
4242.0608,4242.0792,1263400,1263423,0.9913461,314,459601,20240411,probe01
4242.2464,4242.2648,1263632,1263655,0.99587905,314,459601,20240411,probe01
4301.9264,4301.9511999999995,1338232,1338263,0.9925637,314,459601,20240411,probe01
4327.1104,4327.1352,1369712,1369743,0.99801564,314,459601,20240411,probe01
4350.2272,4350.2712,1398608,1398663,0.9891632,314,459601,20240411,probe01
4379.5712,4379.5896,1435288,1435311,0.9888972,314,459601,20240411,probe01
4441.76,4441.7912,1513024,1513063,0.9956111,314,459601,20240411,probe01
4445.0432,4445.0616,1517128,1517151,0.9851805,314,459601,20240411,probe01
4454.1696,4454.188,1528536,1528559,0.9959159,314,459601,20240411,probe01
4458.8351999999995,4458.8536,1534368,1534391,0.9955853,314,459601,20240411,probe01
4470.2208,4470.2392,1548600,1548623,0.9974493,314,459601,20240411,probe01
4476.1728,4476.1912,1556040,1556063,0.9975109,314,459601,20240411,probe01
3622.1191999999996,3622.1567999999997,62184,62231,0.9962733,344,462910,20240813,probe01
3626.9192,3626.9631999999997,68184,68239,0.99622715,344,462910,20240813,probe01
3628.4552,3628.5119999999997,70104,70175,0.99131507,344,462910,20240813,probe01
3631.6423999999997,3631.6672,74088,74119,0.9888234,344,462910,20240813,probe01
3651.732,3651.7695999999996,99200,99247,0.997345,344,462910,20240813,probe01
