accuracy,position,region,n_trials,subject,date,probe
0.47666666666666674,1040,TEa,30,459601,20240409,probe00
0.4773333333333334,1050,TEa,30,459601,20240409,probe00
0.4593333333333333,1060,TEa,30,459601,20240409,probe00
0.4766666666666666,1070,TEa,30,459601,20240409,probe00
0.4626666666666667,1080,TEa,30,459601,20240409,probe00
0.49533333333333324,1090,TEa,30,459601,20240409,probe00
0.4686666666666666,1100,TEa,30,459601,20240409,probe00
0.44133333333333324,1110,TEa,30,459601,20240409,probe00
0.42933333333333346,1120,TEa,30,459601,20240409,probe00
0.48066666666666663,1130,TEa,30,459601,20240409,probe00
0.49533333333333324,1140,TEa,30,459601,20240409,probe00
0.49933333333333346,1150,TEa,30,459601,20240409,probe00
0.4606666666666667,1160,TEa,30,459601,20240409,probe00
0.4879999999999999,1170,TEa,30,459601,20240409,probe00
0.47933333333333344,1180,TEa,30,459601,20240409,probe00
0.4800000000000001,1190,TEa,30,459601,20240409,probe00
0.4720000000000001,1200,TEa,30,459601,20240409,probe00
0.43866666666666665,1210,TEa,30,459601,20240409,probe00
0.46599999999999986,1220,TEa,30,459601,20240409,probe00
0.4786666666666667,1230,TEa,30,459601,20240409,probe00
0.4693333333333334,1240,TEa,30,459601,20240409,probe00
0.45799999999999985,1250,TEa,30,459601,20240409,probe00
0.48533333333333334,1260,TEa,30,459601,20240409,probe00
0.4746666666666667,1270,TEa,30,459601,20240409,probe00
0.4886666666666665,1280,TEa,30,459601,20240409,probe00
0.49000000000000005,1290,TEa,30,459601,20240409,probe00
0.4886666666666666,1300,TEa,30,459601,20240409,probe00
0.49866666666666654,1310,TEa,30,459601,20240409,probe00
0.45466666666666655,1320,TEa,30,459601,20240409,probe00
0.48400000000000004,1330,TEa,30,459601,20240409,probe00
0.4733333333333335,1340,TEa,30,459601,20240409,probe00
0.494,1350,TEa,30,459601,20240409,probe00
0.46666666666666673,1360,TEa,30,459601,20240409,probe00
0.4706666666666665,1370,TEa,30,459601,20240409,probe00
0.4713333333333333,1380,TEa,30,459601,20240409,probe00
0.44933333333333325,1390,TEa,30,459601,20240409,probe00
0.46333333333333343,1400,TEa,30,459601,20240409,probe00
0.4466666666666667,1410,TEa,30,459601,20240409,probe00
0.466,1420,TEa,30,459601,20240409,probe00
0.47199999999999986,1430,TEa,30,459601,20240409,probe00
0.45599999999999996,1440,TEa,30,459601,20240409,probe00
0.44800000000000006,1450,TEa,30,459601,20240409,probe00
0.4426666666666666,1460,TEa,30,459601,20240409,probe00
0.45533333333333353,1470,TEa,30,459601,20240409,probe00
0.5066666666666668,30,VIS,30,459601,20240409,probe00
0.4686666666666666,40,VIS,30,459601,20240409,probe00
0.48466666666666663,50,VIS,30,459601,20240409,probe00
