region_pair,region1,region2,object,p_value,f_stat,subject,date
VIS → PERI 36,VIS,PERI 36,object3,1.1285112328121335e-12,1.2046595379220837,459601,20240411
PERI 36 → dCA1,PERI 36,dCA1,object1,0.3061425364016704,1.0070999387694235,459601,20240411
dCA1 → PERI 36,dCA1,PERI 36,object1,0.00021161723214932238,1.036170864731797,459601,20240411
PERI 36 → dCA1,PERI 36,dCA1,object2,2.6990331879991687e-06,1.2535985963846648,459601,20240411
dCA1 → PERI 36,dCA1,PERI 36,object2,0.0025611951714927966,1.203620952637511,459601,20240411
PERI 36 → dCA1,PERI 36,dCA1,object3,0.02129820103003169,1.0295944376814987,459601,20240411
dCA1 → PERI 36,dCA1,PERI 36,object3,1.248513229775116e-05,1.0978619504640863,459601,20240411
TEa → VIS,TEa,VIS,object1,0.007761961056182307,1.0371768788647875,459601,20240411
VIS → TEa,VIS,TEa,object1,1.248513229775116e-05,1.1017865239503437,459601,20240411
TEa → VIS,TEa,VIS,object2,0.06748301608180704,1.032239717966317,459601,20240411
VIS → TEa,VIS,TEa,object2,1.7758578067704248e-08,1.365066760565598,459601,20240411
TEa → VIS,TEa,VIS,object3,0.0007695437662409166,1.220708542007738,459601,20240411
VIS → TEa,VIS,TEa,object3,0.00021161723214932238,1.098116743636016,459601,20240411
TEa → dCA1,TEa,dCA1,object1,2.6990331879991687e-06,1.156299299939475,459601,20240411
dCA1 → TEa,dCA1,TEa,object1,0.00021161723214932238,1.0956756757853052,459601,20240411
TEa → dCA1,TEa,dCA1,object2,5.422284499946158e-07,1.2468922098011475,459601,20240411
dCA1 → TEa,dCA1,TEa,object2,1.0151912272433631e-07,1.2228812291770208,459601,20240411
TEa → dCA1,TEa,dCA1,object3,0.13087652047825624,1.062607028300372,459601,20240411
dCA1 → TEa,dCA1,TEa,object3,0.13087652047825624,1.0858554290496205,459601,20240411
VIS → dCA1,VIS,dCA1,object1,0.0025611951714927966,1.0726374068562627,459601,20240411
dCA1 → VIS,dCA1,VIS,object1,0.00021161723214932238,1.0908418563959517,459601,20240411
VIS → dCA1,VIS,dCA1,object2,6.462014703754374e-11,1.3530150513373842,459601,20240411
dCA1 → VIS,dCA1,VIS,object2,0.00021161723214932238,1.1556786777313721,459601,20240411
VIS → dCA1,VIS,dCA1,object3,0.0025611951714927966,1.1158795233366763,459601,20240411
dCA1 → VIS,dCA1,VIS,object3,0.02129820103003169,1.0902875092690993,459601,20240411
LEC → VIS,LEC,VIS,object1,1.8427234971554062e-13,1.3661833038682192,462910,20240813
VIS → LEC,VIS,LEC,object1,2.2365317036880034e-10,1.3015417395568607,462910,20240813
LEC → VIS,LEC,VIS,object2,0.0009939573501050586,1.167841017548019,462910,20240813
VIS → LEC,VIS,LEC,object2,3.0617077160851854e-05,1.1302685542325814,462910,20240813
LEC → VIS,LEC,VIS,object3,0.09415717126176565,1.0928047617580832,462910,20240813
VIS → LEC,VIS,LEC,object3,7.0277869366451554e-12,1.1577933262908238,462910,20240813
LEC → iCA1,LEC,iCA1,object1,4.057438667737449e-11,1.3967967023464578,462910,20240813
iCA1 → LEC,iCA1,LEC,object1,1.2054375809229141e-18,1.4300254783337414,462910,20240813
LEC → iCA1,LEC,iCA1,object2,5.8861273842915314e-09,1.3624589819067479,462910,20240813
iCA1 → LEC,iCA1,LEC,object2,9.752461163905629e-18,1.3567068952814865,462910,20240813
LEC → iCA1,LEC,iCA1,object3,2.20720801969112e-06,1.082897240953803,462910,20240813
iCA1 → LEC,iCA1,LEC,object3,1.267745061837775e-07,1.083778159758798,462910,20240813
LEC → dCA1,LEC,dCA1,object1,8.465969687938225e-06,1.1851574143591188,462910,20240813
