time,accuracy,region,subject,date,probe
0.1249999999999929,0.8605714285714285,VIS,462910,20240815,probe00
0.1499999999999928,0.7758571428571428,CA1,462910,20240815,probe00
0.1499999999999928,0.8651428571428572,VIS,462910,20240815,probe00
0.17499999999999272,0.773,CA1,462910,20240815,probe00
0.17499999999999272,0.8651428571428571,VIS,462910,20240815,probe00
0.19999999999999263,0.7764285714285716,CA1,462910,20240815,probe00
0.19999999999999263,0.8487142857142858,VIS,462910,20240815,probe00
0.22499999999999254,0.7707142857142858,CA1,462910,20240815,probe00
0.22499999999999254,0.868,VIS,462910,20240815,probe00
0.24999999999999245,0.7942857142857143,CA1,462910,20240815,probe00
0.24999999999999245,0.8455714285714286,VIS,462910,20240815,probe00
0.27499999999999236,0.7824285714285714,CA1,462910,20240815,probe00
0.27499999999999236,0.8337142857142856,VIS,462910,20240815,probe00
0.2999999999999923,0.782,CA1,462910,20240815,probe00
0.2999999999999923,0.8305714285714285,VIS,462910,20240815,probe00
0.3249999999999922,0.7939999999999999,CA1,462910,20240815,probe00
0.3249999999999922,0.8147142857142855,VIS,462910,20240815,probe00
0.3499999999999921,0.777,CA1,462910,20240815,probe00
0.3499999999999921,0.7984285714285714,VIS,462910,20240815,probe00
0.374999999999992,0.7728571428571428,CA1,462910,20240815,probe00
0.374999999999992,0.7928571428571428,VIS,462910,20240815,probe00
0.3999999999999919,0.7792857142857145,CA1,462910,20240815,probe00
0.3999999999999919,0.7855714285714285,VIS,462910,20240815,probe00
0.42499999999999183,0.7744285714285715,CA1,462910,20240815,probe00
0.42499999999999183,0.7824285714285715,VIS,462910,20240815,probe00
0.44999999999999174,0.7647142857142856,CA1,462910,20240815,probe00
0.44999999999999174,0.7597142857142856,VIS,462910,20240815,probe00
0.47499999999999165,0.7467142857142857,CA1,462910,20240815,probe00
0.47499999999999165,0.7458571428571429,VIS,462910,20240815,probe00
0.49999999999999156,0.7502857142857142,CA1,462910,20240815,probe00
0.49999999999999156,0.7208571428571428,VIS,462910,20240815,probe00
0.5249999999999915,0.7241428571428571,CA1,462910,20240815,probe00
0.5249999999999915,0.7060000000000002,VIS,462910,20240815,probe00
0.5499999999999914,0.7464285714285714,CA1,462910,20240815,probe00
0.5499999999999914,0.7147142857142859,VIS,462910,20240815,probe00
0.5749999999999913,0.7134285714285714,CA1,462910,20240815,probe00
0.5749999999999913,0.6835714285714286,VIS,462910,20240815,probe00
0.5999999999999912,0.7094285714285715,CA1,462910,20240815,probe00
0.5999999999999912,0.6762857142857144,VIS,462910,20240815,probe00
0.6249999999999911,0.7234285714285715,CA1,462910,20240815,probe00
0.6249999999999911,0.6568571428571428,VIS,462910,20240815,probe00
0.649999999999991,0.7478571428571429,CA1,462910,20240815,probe00
0.649999999999991,0.6357142857142857,VIS,462910,20240815,probe00
0.6749999999999909,0.7421428571428571,CA1,462910,20240815,probe00
0.6749999999999909,0.6541428571428571,VIS,462910,20240815,probe00
0.6999999999999909,0.7627142857142857,CA1,462910,20240815,probe00
0.6999999999999909,0.6491428571428572,VIS,462910,20240815,probe00
0.7249999999999908,0.7485714285714284,CA1,462910,20240815,probe00
0.7249999999999908,0.6514285714285714,VIS,462910,20240815,probe00
0.7499999999999907,0.7435714285714287,CA1,462910,20240815,probe00
0.7499999999999907,0.6474285714285714,VIS,462910,20240815,probe00
0.7749999999999906,0.7380000000000001,CA1,462910,20240815,probe00
0.7749999999999906,0.65,VIS,462910,20240815,probe00
0.7999999999999905,0.7407142857142857,CA1,462910,20240815,probe00
0.7999999999999905,0.6705714285714285,VIS,462910,20240815,probe00
0.8249999999999904,0.7685714285714285,CA1,462910,20240815,probe00
0.8249999999999904,0.6671428571428573,VIS,462910,20240815,probe00
0.8499999999999903,0.754,CA1,462910,20240815,probe00
0.8499999999999903,0.687857142857143,VIS,462910,20240815,probe00
0.8749999999999902,0.742,CA1,462910,20240815,probe00
0.8749999999999902,0.7002857142857143,VIS,462910,20240815,probe00
0.8999999999999901,0.7245714285714285,CA1,462910,20240815,probe00
0.8999999999999901,0.7032857142857142,VIS,462910,20240815,probe00
0.92499999999999,0.7125714285714285,CA1,462910,20240815,probe00
0.92499999999999,0.7121428571428572,VIS,462910,20240815,probe00
0.94999999999999,0.7227142857142858,CA1,462910,20240815,probe00
0.94999999999999,0.7324285714285714,VIS,462910,20240815,probe00
0.9749999999999899,0.7161428571428572,CA1,462910,20240815,probe00
0.9749999999999899,0.7504285714285714,VIS,462910,20240815,probe00
0.9999999999999898,0.7122857142857143,CA1,462910,20240815,probe00
0.9999999999999898,0.7597142857142858,VIS,462910,20240815,probe00
1.0249999999999897,0.7214285714285716,CA1,462910,20240815,probe00
1.0249999999999897,0.7761428571428572,VIS,462910,20240815,probe00
1.0499999999999896,0.7368571428571429,CA1,462910,20240815,probe00
1.0499999999999896,0.7825714285714287,VIS,462910,20240815,probe00
1.0749999999999895,0.7287142857142856,CA1,462910,20240815,probe00
1.0749999999999895,0.7691428571428572,VIS,462910,20240815,probe00
1.0999999999999894,0.7578571428571428,CA1,462910,20240815,probe00
1.0999999999999894,0.784,VIS,462910,20240815,probe00
1.1249999999999893,0.7415714285714285,CA1,462910,20240815,probe00
1.1249999999999893,0.7854285714285713,VIS,462910,20240815,probe00
1.1499999999999893,0.764,CA1,462910,20240815,probe00
1.1499999999999893,0.7838571428571428,VIS,462910,20240815,probe00
1.1749999999999892,0.7217142857142856,CA1,462910,20240815,probe00
1.1749999999999892,0.785142857142857,VIS,462910,20240815,probe00
1.199999999999989,0.7294285714285715,CA1,462910,20240815,probe00
1.199999999999989,0.7802857142857142,VIS,462910,20240815,probe00
1.224999999999989,0.7144285714285715,CA1,462910,20240815,probe00
1.224999999999989,0.7958571428571427,VIS,462910,20240815,probe00
1.249999999999989,0.709857142857143,CA1,462910,20240815,probe00
1.249999999999989,0.790142857142857,VIS,462910,20240815,probe00
1.2749999999999888,0.7245714285714285,CA1,462910,20240815,probe00
1.2749999999999888,0.7954285714285716,VIS,462910,20240815,probe00
1.2999999999999887,0.7271428571428572,CA1,462910,20240815,probe00
1.2999999999999887,0.7967142857142858,VIS,462910,20240815,probe00
1.3249999999999886,0.7140000000000001,CA1,462910,20240815,probe00
