region_pair,region1,region2,object,p_value,f_stat,subject,date
PERI 36 → dCA1,PERI 36,dCA1,object3,5.350040062538822e-05,0.9267827681323035,459601,20240411
dCA1 → PERI 36,dCA1,PERI 36,object3,0.0025611951714927966,0.9550978499238334,459601,20240411
TEa → VIS,TEa,VIS,object3,5.350040062538822e-05,1.1746433578636646,459601,20240411
VIS → TEa,VIS,TEa,object3,1.7758578067704248e-08,1.2329001753830282,459601,20240411
TEa → dCA1,TEa,dCA1,object3,4.4716997538161296e-10,1.1476957320371248,459601,20240411
dCA1 → TEa,dCA1,TEa,object3,5.350040062538822e-05,1.1377926206068942,459601,20240411
VIS → dCA1,VIS,dCA1,object3,2.6990331879991687e-06,1.2228682756297458,459601,20240411
dCA1 → VIS,dCA1,VIS,object3,5.350040062538822e-05,1.5083658769220096,459601,20240411
ENT → VIS,ENT,VIS,object1,0.0009939573501050586,1.0791257162469365,462910,20240813
VIS → ENT,VIS,ENT,object1,0.009315101196091202,1.1043499825013592,462910,20240813
ENT → vCA1,ENT,vCA1,object1,0.00010416735634275956,0.985079746544283,462910,20240813
vCA1 → ENT,vCA1,ENT,object1,0.0009939573501050586,1.0545530402966135,462910,20240813
ENT → dCA1,ENT,dCA1,object1,3.0617077160851854e-05,1.1918630032333462,462910,20240813
dCA1 → ENT,dCA1,ENT,object1,1.267745061837775e-07,1.3199172993975807,462910,20240813
VIS → vCA1,VIS,vCA1,object1,0.00010416735634275956,1.1293527403216004,462910,20240813
vCA1 → VIS,vCA1,VIS,object1,0.0009939573501050586,1.1307384034688677,462910,20240813
VIS → dCA1,VIS,dCA1,object1,3.0617077160851854e-05,0.9663888045669449,462910,20240813
dCA1 → VIS,dCA1,VIS,object1,0.0027721417173967805,1.0103468809495328,462910,20240813
vCA1 → dCA1,vCA1,dCA1,object1,0.05397718401126959,1.1250457485577876,462910,20240813
dCA1 → vCA1,dCA1,vCA1,object1,0.6718532702067649,0.9499158381762249,462910,20240813
ENT → VIS,ENT,VIS,object2,3.0617077160851854e-05,1.2516861568254103,462910,20240813
VIS → ENT,VIS,ENT,object2,1.267745061837775e-07,1.3278381388832454,462910,20240813
ENT → vCA1,ENT,vCA1,object2,5.436950499728254e-07,1.2045477756768488,462910,20240813
vCA1 → ENT,vCA1,ENT,object2,0.0027721417173967805,1.0523640462800752,462910,20240813
ENT → dCA1,ENT,dCA1,object2,1.267745061837775e-07,1.1117919113353012,462910,20240813
dCA1 → ENT,dCA1,ENT,object2,2.2365317036880034e-10,1.1990823679699438,462910,20240813
VIS → vCA1,VIS,vCA1,object2,0.0009939573501050586,0.9397506945884911,462910,20240813
vCA1 → VIS,vCA1,VIS,object2,0.0027721417173967805,0.9607048548693959,462910,20240813
VIS → dCA1,VIS,dCA1,object2,2.20720801969112e-06,1.0103562570726123,462910,20240813
dCA1 → VIS,dCA1,VIS,object2,0.00010416735634275956,1.0252344902089203,462910,20240813
vCA1 → dCA1,vCA1,dCA1,object2,5.436950499728254e-07,1.0165599744086158,462910,20240813
dCA1 → vCA1,dCA1,vCA1,object2,0.009315101196091202,0.9723409214728558,462910,20240813
ENT → VIS,ENT,VIS,object3,5.436950499728254e-07,1.0947110001005451,462910,20240813
VIS → ENT,VIS,ENT,object3,2.20720801969112e-06,1.0468502568031215,462910,20240813
ENT → vCA1,ENT,vCA1,object3,1.163437733848538e-12,1.1658814819171455,462910,20240813
vCA1 → ENT,vCA1,ENT,object3,4.063104428569434e-15,1.050700523586642,462910,20240813
ENT → dCA1,ENT,dCA1,object3,0.009315101196091202,1.0636922381860303,462910,20240813
dCA1 → ENT,dCA1,ENT,object3,0.00033259755034041453,1.0673723444606233,462910,20240813
VIS → vCA1,VIS,vCA1,object3,2.2365317036880034e-10,1.1667817473405724,462910,20240813
vCA1 → VIS,vCA1,VIS,object3,3.0617077160851854e-05,1.2151150800111377,462910,20240813
VIS → dCA1,VIS,dCA1,object3,8.465969687938225e-06,1.0441142560251564,462910,20240813
dCA1 → VIS,dCA1,VIS,object3,0.00010416735634275956,1.1067875133445177,462910,20240813
vCA1 → dCA1,vCA1,dCA1,object3,8.465969687938225e-06,0.9159987163705583,462910,20240813
dCA1 → vCA1,dCA1,vCA1,object3,1.175662845564214e-09,1.1261150977521805,462910,20240813
ENT → PERI 36,ENT,PERI 36,object1,1.8873812448374138e-14,1.5883502696869318,462910,20240814
PERI 36 → ENT,PERI 36,ENT,object1,5.738892070748117e-10,1.463873877573825,462910,20240814
ENT → vCA1,ENT,vCA1,object1,3.971768370073273e-12,1.221973312038826,462910,20240814
vCA1 → ENT,vCA1,ENT,object1,4.1619949190722606e-05,1.268429758327356,462910,20240814
ENT → dCA1,ENT,dCA1,object1,1.2317419799254568e-05,1.2619702447533518,462910,20240814
dCA1 → ENT,dCA1,ENT,object1,1.1421174796318454e-10,1.4483312525865704,462910,20240814
PERI 36 → vCA1,PERI 36,vCA1,object1,2.757357137855018e-09,1.193233912461643,462910,20240814
vCA1 → PERI 36,vCA1,PERI 36,object1,4.1619949190722606e-05,1.2306374042028696,462910,20240814
PERI 36 → dCA1,PERI 36,dCA1,object1,0.00013281144152106603,1.115537061619574,462910,20240814
dCA1 → PERI 36,dCA1,PERI 36,object1,5.738892070748117e-10,1.3488697489496853,462910,20240814
vCA1 → dCA1,vCA1,dCA1,object1,0.5505328022416549,0.9797698004143729,462910,20240814
dCA1 → vCA1,dCA1,vCA1,object1,0.00013281144152106603,1.0002906398147091,462910,20240814
