region_pair,region1,region2,object,p_value,f_stat,null_f_stat,subject,date
TEa → dCA1,TEa,dCA1,object2,0.592814371257485,1.0950862782794248,1.0834767677676491,462911,20240809
dCA1 → TEa,dCA1,TEa,object2,0.059880239520958084,1.2164622579708821,1.1737017636201248,462911,20240809
TEa → dCA1,TEa,dCA1,object3,0.8602794411177644,1.0194367240303015,1.0730050866723502,462911,20240809
dCA1 → TEa,dCA1,TEa,object3,0.5708582834331337,1.0360142091274798,1.067010232327292,462911,20240809
VIS → dCA1,VIS,dCA1,object1,0.5868263473053892,1.0745924033894225,1.098745973250936,462911,20240809
dCA1 → VIS,dCA1,VIS,object1,0.2055888223552894,1.1245900415328083,1.1651591483237578,462911,20240809
VIS → dCA1,VIS,dCA1,object2,0.13572854291417166,1.1715727732666479,1.0416465476280634,462911,20240809
dCA1 → VIS,dCA1,VIS,object2,0.001996007984031936,1.2786744884467232,1.1072361050698971,462911,20240809
VIS → dCA1,VIS,dCA1,object3,0.36726546906187624,1.0695597438528843,1.008689585660931,462911,20240809
dCA1 → VIS,dCA1,VIS,object3,0.18163672654690619,1.1000035579176461,0.9988482988888444,462911,20240809
AUD → LEC,AUD,LEC,object1,0.8483033932135728,1.0192260142718206,1.1556476951759982,466394,20241107
LEC → AUD,LEC,AUD,object1,0.29141716566866266,1.0974562897769995,0.9465997730956658,466394,20241107
AUD → LEC,AUD,LEC,object2,0.13972055888223553,1.172244222932614,1.0478592729448655,466394,20241107
LEC → AUD,LEC,AUD,object2,0.8083832335329342,1.035936339845488,1.0610900420538598,466394,20241107
AUD → LEC,AUD,LEC,object3,0.469061876247505,1.1038011052821446,1.1390916169470533,466394,20241107
LEC → AUD,LEC,AUD,object3,0.9121756487025948,0.962049060747462,0.989355182351733,466394,20241107
AUD → PERI 35,AUD,PERI 35,object1,0.6826347305389222,1.0857353502725458,1.168081964133755,466394,20241107
PERI 35 → AUD,PERI 35,AUD,object1,0.2834331337325349,1.1158687786401749,1.1810980177992196,466394,20241107
AUD → PERI 35,AUD,PERI 35,object2,0.2834331337325349,1.1350681128048135,0.9454983913258519,466394,20241107
PERI 35 → AUD,PERI 35,AUD,object2,0.34331337325349304,1.1306426747720293,1.132115625651989,466394,20241107
AUD → PERI 35,AUD,PERI 35,object3,0.4251497005988024,1.0989945874056413,0.9990580869933378,466394,20241107
PERI 35 → AUD,PERI 35,AUD,object3,0.003992015968063872,1.287990974219565,1.150381116225521,466394,20241107
AUD → PERI 36,AUD,PERI 36,object1,0.4171656686626746,1.1458854228265074,1.024642660142353,466394,20241107
PERI 36 → AUD,PERI 36,AUD,object1,0.033932135728542916,1.1898626382463424,1.1083780670669008,466394,20241107
AUD → PERI 36,AUD,PERI 36,object2,0.11377245508982035,1.1867656351634792,1.19985720923189,466394,20241107
PERI 36 → AUD,PERI 36,AUD,object2,0.3652694610778443,1.1368921064811646,1.0490423622555423,466394,20241107
AUD → PERI 36,AUD,PERI 36,object3,0.47704590818363274,1.0890669745086856,1.1523756109934982,466394,20241107
PERI 36 → AUD,PERI 36,AUD,object3,0.7225548902195609,1.05128754905478,1.0743375537894837,466394,20241107
AUD → TEa,AUD,TEa,object1,0.031936127744510975,1.2324972880066491,1.1389122488403511,466394,20241107
TEa → AUD,TEa,AUD,object1,0.003992015968063872,1.267927982972417,1.2288686280830583,466394,20241107
AUD → TEa,AUD,TEa,object2,0.1157684630738523,1.1965711984061782,1.0727058098405748,466394,20241107
TEa → AUD,TEa,AUD,object2,0.18962075848303392,1.1694728430731671,1.0860531481825042,466394,20241107
AUD → TEa,AUD,TEa,object3,0.3772455089820359,1.1216095415725487,1.1450635588410292,466394,20241107
TEa → AUD,TEa,AUD,object3,0.6187624750499002,1.0665075360199014,1.109246390917251,466394,20241107
LEC → PERI 35,LEC,PERI 35,object1,0.5469061876247505,1.0655229244859001,1.027509296824517,466394,20241107
PERI 35 → LEC,PERI 35,LEC,object1,0.7524950099800399,1.0379881656678092,1.036229225453739,466394,20241107
LEC → PERI 35,LEC,PERI 35,object2,0.8822355289421158,1.0339033011843288,1.098006850081901,466394,20241107
PERI 35 → LEC,PERI 35,LEC,object2,0.37924151696606784,1.0990131423616856,1.1431501771405574,466394,20241107
LEC → PERI 35,LEC,PERI 35,object3,0.08383233532934131,1.1639970257719765,0.9629769988154587,466394,20241107
PERI 35 → LEC,PERI 35,LEC,object3,0.21956087824351297,1.1256414147253808,1.0742578949040174,466394,20241107
LEC → PERI 36,LEC,PERI 36,object1,0.8702594810379242,1.0239445614137301,1.0271108390099475,466394,20241107
PERI 36 → LEC,PERI 36,LEC,object1,0.043912175648702596,1.2287493801305736,1.0794841159822381,466394,20241107
LEC → PERI 36,LEC,PERI 36,object2,0.35728542914171657,1.1075421891718638,1.1433661019263985,466394,20241107
PERI 36 → LEC,PERI 36,LEC,object2,0.2834331337325349,1.12607171262475,1.1000637257233796,466394,20241107
LEC → PERI 36,LEC,PERI 36,object3,0.23552894211576847,1.1114513595794295,0.8939837440150792,466394,20241107
PERI 36 → LEC,PERI 36,LEC,object3,0.5988023952095808,1.0575329582526944,1.167367786723318,466394,20241107
LEC → TEa,LEC,TEa,object1,0.3532934131736527,1.1084055238322676,1.1499505464692408,466394,20241107
TEa → LEC,TEa,LEC,object1,0.7405189620758483,1.0597674557013914,1.0631240523154037,466394,20241107
LEC → TEa,LEC,TEa,object2,0.6746506986027944,1.071087376781134,1.0846826000457421,466394,20241107
TEa → LEC,TEa,LEC,object2,0.4630738522954092,1.0995864670269226,1.0441056840709542,466394,20241107
LEC → TEa,LEC,TEa,object3,0.5528942115768463,1.0526117068416638,1.1270207809554007,466394,20241107
TEa → LEC,TEa,LEC,object3,0.20159680638722555,1.1357796490571586,1.0588469104885858,466394,20241107
PERI 35 → PERI 36,PERI 35,PERI 36,object1,0.22554890219560877,1.1627847642017968,1.173310024057525,466394,20241107
PERI 36 → PERI 35,PERI 36,PERI 35,object1,0.26147704590818366,1.1326696215259286,1.1227083788181054,466394,20241107
PERI 35 → PERI 36,PERI 35,PERI 36,object2,0.24151696606786427,1.135852082508939,1.0924323751112799,466394,20241107
PERI 36 → PERI 35,PERI 36,PERI 35,object2,0.8003992015968064,1.0524504106682049,1.1566520780758474,466394,20241107
PERI 35 → PERI 36,PERI 35,PERI 36,object3,0.4311377245508982,1.107919684533243,1.1585589476781692,466394,20241107
PERI 36 → PERI 35,PERI 36,PERI 35,object3,0.20758483033932135,1.1443840528668188,0.9849702110857153,466394,20241107
PERI 35 → TEa,PERI 35,TEa,object1,0.5848303393213573,1.0825498375142983,0.9881506602194657,466394,20241107
TEa → PERI 35,TEa,PERI 35,object1,0.1377245508982036,1.161063606178041,1.0521220783961367,466394,20241107
PERI 35 → TEa,PERI 35,TEa,object2,0.23952095808383234,1.1459212679508626,1.1391519496699185,466394,20241107
TEa → PERI 35,TEa,PERI 35,object2,0.6227544910179641,1.0757205962061513,1.1304658286178386,466394,20241107
PERI 35 → TEa,PERI 35,TEa,object3,0.3532934131736527,1.1216151761924176,1.0697263099461802,466394,20241107
TEa → PERI 35,TEa,PERI 35,object3,0.05189620758483034,1.2005316936180166,1.06301484299811,466394,20241107
PERI 36 → TEa,PERI 36,TEa,object1,0.25748502994011974,1.1571876550581925,1.183641878212931,466394,20241107
TEa → PERI 36,TEa,PERI 36,object1,0.3213572854291417,1.1738039003100178,1.1769143990961366,466394,20241107
PERI 36 → TEa,PERI 36,TEa,object2,0.19560878243512975,1.165783899904398,1.1093362869585703,466394,20241107
TEa → PERI 36,TEa,PERI 36,object2,0.17165668662674652,1.1843136518085144,1.1483619765698523,466394,20241107
PERI 36 → TEa,PERI 36,TEa,object3,0.2375249500998004,1.1182720986807917,1.1081581887311465,466394,20241107
TEa → PERI 36,TEa,PERI 36,object3,0.5688622754491018,1.0915166079193286,1.173374760099206,466394,20241107
AUD → PERI 35,AUD,PERI 35,object1,0.08383233532934131,1.1957414023580903,1.0999195144782075,466394,20241108
PERI 35 → AUD,PERI 35,AUD,object1,0.21157684630738524,1.1421361678933863,1.0380414388388992,466394,20241108
AUD → PERI 35,AUD,PERI 35,object2,0.08982035928143713,1.1974214140551518,1.234316248472835,466394,20241108
PERI 35 → AUD,PERI 35,AUD,object2,0.8982035928143712,1.020575810038566,1.0045148704060671,466394,20241108
AUD → PERI 35,AUD,PERI 35,object3,0.27944111776447106,1.1475713264014238,1.2196061230496078,466394,20241108
PERI 35 → AUD,PERI 35,AUD,object3,0.4810379241516966,1.0989208544508682,1.101116956697079,466394,20241108
AUD → PERI 36,AUD,PERI 36,object1,0.08183632734530938,1.2165499852776247,1.0823105836026905,466394,20241108
PERI 36 → AUD,PERI 36,AUD,object1,0.16766467065868262,1.16201583995942,1.1024794344602236,466394,20241108
AUD → PERI 36,AUD,PERI 36,object2,0.4031936127744511,1.1173250871392029,1.1328499796664566,466394,20241108
PERI 36 → AUD,PERI 36,AUD,object2,0.21157684630738524,1.129678968706174,1.0585003818199679,466394,20241108
AUD → PERI 36,AUD,PERI 36,object3,0.2954091816367265,1.157359966681504,1.08542105411014,466394,20241108
PERI 36 → AUD,PERI 36,AUD,object3,0.14171656686626746,1.177187668366181,1.1898488073498823,466394,20241108
AUD → TEa,AUD,TEa,object1,0.10778443113772455,1.185114336809108,0.9554953536369845,466394,20241108
TEa → AUD,TEa,AUD,object1,0.7904191616766467,1.068649712562339,1.154072007060478,466394,20241108
AUD → TEa,AUD,TEa,object2,0.18562874251497005,1.1783001334974563,1.1708055726288713,466394,20241108
TEa → AUD,TEa,AUD,object2,0.13572854291417166,1.1564457279375155,1.043581427082041,466394,20241108
AUD → TEa,AUD,TEa,object3,0.3592814371257485,1.1364445434658499,1.0374190103712118,466394,20241108
TEa → AUD,TEa,AUD,object3,0.021956087824351298,1.2280778293771029,1.0499626854596915,466394,20241108
AUD → dCA1,AUD,dCA1,object1,0.4630738522954092,1.1214006613231178,1.1294972363212368,466394,20241108
dCA1 → AUD,dCA1,AUD,object1,0.25149700598802394,1.134296598607569,1.1354170201004763,466394,20241108
AUD → dCA1,AUD,dCA1,object2,0.017964071856287425,1.2274899858092772,1.0753482778378196,466394,20241108
dCA1 → AUD,dCA1,AUD,object2,0.15768463073852296,1.1763757527613246,1.052554251446789,466394,20241108
AUD → dCA1,AUD,dCA1,object3,0.3333333333333333,1.175598105061434,1.1099893334489763,466394,20241108
dCA1 → AUD,dCA1,AUD,object3,0.7385229540918163,1.08754478305514,1.0944187346937875,466394,20241108
PERI 35 → PERI 36,PERI 35,PERI 36,object1,0.041916167664670656,1.1907366064418203,1.1534760929160022,466394,20241108
PERI 36 → PERI 35,PERI 36,PERI 35,object1,0.10379241516966067,1.1825432778162288,1.08426845581931,466394,20241108
PERI 35 → PERI 36,PERI 35,PERI 36,object2,0.3253493013972056,1.116261094590109,1.0538768527661921,466394,20241108
PERI 36 → PERI 35,PERI 36,PERI 35,object2,0.1596806387225549,1.1516738427284559,1.0926842506146228,466394,20241108
PERI 35 → PERI 36,PERI 35,PERI 36,object3,0.42115768463073855,1.1329835266444541,1.1039905849739324,466394,20241108
PERI 36 → PERI 35,PERI 36,PERI 35,object3,0.11776447105788423,1.1914648597840545,1.1130241220296546,466394,20241108
PERI 35 → TEa,PERI 35,TEa,object1,0.4411177644710579,1.099896269604563,1.1248940158145744,466394,20241108
TEa → PERI 35,TEa,PERI 35,object1,0.3073852295409182,1.1308436421847246,1.0605071671942659,466394,20241108
PERI 35 → TEa,PERI 35,TEa,object2,0.48502994011976047,1.1069057249851955,1.2077892325427222,466394,20241108
TEa → PERI 35,TEa,PERI 35,object2,0.0718562874251497,1.2045518860334703,1.131153766461201,466394,20241108
PERI 35 → TEa,PERI 35,TEa,object3,0.7425149700598802,1.0518983431711721,1.1345475188188976,466394,20241108
TEa → PERI 35,TEa,PERI 35,object3,0.41916167664670656,1.1212440697864943,1.0677058940281803,466394,20241108
PERI 35 → dCA1,PERI 35,dCA1,object1,0.780439121756487,1.0502702040152727,1.1733954685584043,466394,20241108
dCA1 → PERI 35,dCA1,PERI 35,object1,0.041916167664670656,1.207532216816012,1.194090385827061,466394,20241108
PERI 35 → dCA1,PERI 35,dCA1,object2,0.3532934131736527,1.1054225661361352,1.1427462164504314,466394,20241108
dCA1 → PERI 35,dCA1,PERI 35,object2,0.007984031936127744,1.2597650695414506,1.1862951492689684,466394,20241108
