region_1,region_2,region_pair,causality_score,object,subject,date
AUD,PERI,AUD <> PERI,0.1064410964071883,2,462911,20240809
PERI,AUD,AUD <> PERI,0.09279680714878509,2,462911,20240809
AUD,TEa,AUD <> TEa,0.10208349449362791,1,462911,20240809
TEa,AUD,AUD <> TEa,0.03702745190452735,1,462911,20240809
AUD,TEa,AUD <> TEa,0.10359544662948725,2,462911,20240809
TEa,AUD,AUD <> TEa,0.036655843529085484,2,462911,20240809
AUD,VIS,AUD <> VIS,0.10454518282517186,1,462911,20240809
VIS,AUD,AUD <> VIS,0.03559346959170172,1,462911,20240809
AUD,VIS,AUD <> VIS,0.10543174926173468,2,462911,20240809
VIS,AUD,AUD <> VIS,0.036137910674574045,2,462911,20240809
AUD,CA1,AUD <> CA1,0.11109812012230379,1,462911,20240809
CA1,AUD,AUD <> CA1,0.13697969738397361,1,462911,20240809
AUD,CA1,AUD <> CA1,0.1122272982398628,2,462911,20240809
CA1,AUD,AUD <> CA1,0.13547220171022345,2,462911,20240809
LEC,PERI,LEC <> PERI,0.00299631288387711,1,462911,20240809
PERI,LEC,LEC <> PERI,0.08536908415235267,1,462911,20240809
LEC,PERI,LEC <> PERI,0.00312195418980331,2,462911,20240809
PERI,LEC,LEC <> PERI,0.09081151476470031,2,462911,20240809
LEC,TEa,LEC <> TEa,0.002662679738659613,1,462911,20240809
TEa,LEC,LEC <> TEa,0.030427902902654434,1,462911,20240809
LEC,TEa,LEC <> TEa,0.0026308087866845037,2,462911,20240809
TEa,LEC,LEC <> TEa,0.03460318498344619,2,462911,20240809
LEC,VIS,LEC <> VIS,0.0026259402008214014,1,462911,20240809
VIS,LEC,LEC <> VIS,0.03092215818823924,1,462911,20240809
LEC,VIS,LEC <> VIS,0.0026119991914595347,2,462911,20240809
VIS,LEC,LEC <> VIS,0.035030234590994684,2,462911,20240809
LEC,CA1,LEC <> CA1,0.003024727730944597,1,462911,20240809
CA1,LEC,LEC <> CA1,0.13540819171987228,1,462911,20240809
LEC,CA1,LEC <> CA1,0.0032468387779520497,2,462911,20240809
CA1,LEC,LEC <> CA1,0.12163798476250214,2,462911,20240809
PERI,TEa,PERI <> TEa,0.0877164836525237,1,462911,20240809
TEa,PERI,PERI <> TEa,0.03472471374758346,1,462911,20240809
PERI,TEa,PERI <> TEa,0.09195072575581385,2,462911,20240809
TEa,PERI,PERI <> TEa,0.03551935741085581,2,462911,20240809
PERI,VIS,PERI <> VIS,0.08401083888892832,1,462911,20240809
VIS,PERI,PERI <> VIS,0.03414098134910746,1,462911,20240809
PERI,VIS,PERI <> VIS,0.08433058515982135,2,462911,20240809
VIS,PERI,PERI <> VIS,0.0349261988331988,2,462911,20240809
PERI,CA1,PERI <> CA1,0.09155176132220791,1,462911,20240809
CA1,PERI,PERI <> CA1,0.09568588111767173,1,462911,20240809
PERI,CA1,PERI <> CA1,0.09122002828743005,2,462911,20240809
CA1,PERI,PERI <> CA1,0.09618224133116902,2,462911,20240809
TEa,VIS,TEa <> VIS,0.03240843618688449,1,462911,20240809
VIS,TEa,TEa <> VIS,0.032821924746324886,1,462911,20240809
TEa,VIS,TEa <> VIS,0.034619949212579486,2,462911,20240809
VIS,TEa,TEa <> VIS,0.034383751306964076,2,462911,20240809
TEa,CA1,TEa <> CA1,0.03660558548733844,1,462911,20240809
CA1,TEa,TEa <> CA1,0.12343720285946212,1,462911,20240809
TEa,CA1,TEa <> CA1,0.036476641601852454,2,462911,20240809
CA1,TEa,TEa <> CA1,0.12791936260528536,2,462911,20240809
VIS,CA1,VIS <> CA1,0.03638822328003122,1,462911,20240809
CA1,VIS,VIS <> CA1,0.13185738094397406,1,462911,20240809
VIS,CA1,VIS <> CA1,0.0367098458368789,2,462911,20240809
CA1,VIS,VIS <> CA1,0.1326087097025429,2,462911,20240809
AUD,PERI,AUD <> PERI,0.8544287155622031,1,466394,20241105
PERI,AUD,AUD <> PERI,0.5123792939071325,1,466394,20241105
AUD,PERI,AUD <> PERI,0.8673223055493885,2,466394,20241105
PERI,AUD,AUD <> PERI,0.513209322006556,2,466394,20241105
AUD,TEa,AUD <> TEa,0.962584459124287,1,466394,20241105
TEa,AUD,AUD <> TEa,0.8807281799585936,1,466394,20241105
AUD,TEa,AUD <> TEa,0.9605647385184864,2,466394,20241105
TEa,AUD,AUD <> TEa,0.8758705185281684,2,466394,20241105
PERI,TEa,PERI <> TEa,0.18723947159359644,1,466394,20241105
TEa,PERI,PERI <> TEa,0.3207828389930653,1,466394,20241105
PERI,TEa,PERI <> TEa,0.18634889143207325,2,466394,20241105
TEa,PERI,PERI <> TEa,0.316855026270836,2,466394,20241105
AUD,LEC,AUD <> LEC,0.22391912581967155,1,466394,20241107
LEC,AUD,AUD <> LEC,0.0319511038053443,1,466394,20241107
AUD,LEC,AUD <> LEC,0.2340083863852529,2,466394,20241107
LEC,AUD,AUD <> LEC,0.03165141128328955,2,466394,20241107
AUD,PERI,AUD <> PERI,0.27111093986192863,1,466394,20241107
PERI,AUD,AUD <> PERI,0.2535376718344681,1,466394,20241107
AUD,PERI,AUD <> PERI,0.2745246333718839,2,466394,20241107
PERI,AUD,AUD <> PERI,0.2537338324976882,2,466394,20241107
AUD,TEa,AUD <> TEa,0.24821375263696824,1,466394,20241107
TEa,AUD,AUD <> TEa,0.14943542929282078,1,466394,20241107
AUD,TEa,AUD <> TEa,0.24832826292285085,2,466394,20241107
TEa,AUD,AUD <> TEa,0.14882413578377046,2,466394,20241107
LEC,PERI,LEC <> PERI,0.03372713182617613,1,466394,20241107
PERI,LEC,LEC <> PERI,0.22358063762598063,1,466394,20241107
LEC,PERI,LEC <> PERI,0.03191788661772111,2,466394,20241107
PERI,LEC,LEC <> PERI,0.22494378992549194,2,466394,20241107
LEC,TEa,LEC <> TEa,0.02983065787379052,1,466394,20241107
TEa,LEC,LEC <> TEa,0.1314767443271265,1,466394,20241107
LEC,TEa,LEC <> TEa,0.030872449031173844,2,466394,20241107
TEa,LEC,LEC <> TEa,0.12688651266016734,2,466394,20241107
PERI,TEa,PERI <> TEa,0.23815154201883565,1,466394,20241107
TEa,PERI,PERI <> TEa,0.15020019952348285,1,466394,20241107
PERI,TEa,PERI <> TEa,0.23756378346517673,2,466394,20241107
TEa,PERI,PERI <> TEa,0.1511293637309855,2,466394,20241107
AUD,LEC,AUD <> LEC,0.22161719003116825,1,466394,20241108
LEC,AUD,AUD <> LEC,0.013115664153630727,1,466394,20241108
AUD,LEC,AUD <> LEC,0.22936606919665703,2,466394,20241108
LEC,AUD,AUD <> LEC,0.012398257027865503,2,466394,20241108
AUD,PERI,AUD <> PERI,0.2648780180054047,1,466394,20241108
PERI,AUD,AUD <> PERI,0.19847336018822098,1,466394,20241108
AUD,PERI,AUD <> PERI,0.2647209813496158,2,466394,20241108
