time,accuracy,object,region,subject,date,probe
1.8249999999999869,0.36,3,PERI,459601,20240409,probe00
1.8249999999999869,0.6733333333333333,1,TEa,459601,20240409,probe00
1.8249999999999869,0.4633333333333334,2,TEa,459601,20240409,probe00
1.8249999999999869,0.7293333333333335,3,TEa,459601,20240409,probe00
1.8249999999999869,0.6186666666666667,1,VIS,459601,20240409,probe00
1.8249999999999869,0.5806666666666667,2,VIS,459601,20240409,probe00
1.8249999999999869,0.3693333333333333,3,VIS,459601,20240409,probe00
1.8499999999999868,0.4219999999999999,1,PERI,459601,20240409,probe00
1.8499999999999868,0.4046666666666667,2,PERI,459601,20240409,probe00
1.8499999999999868,0.3493333333333333,3,PERI,459601,20240409,probe00
1.8499999999999868,0.6559999999999999,1,TEa,459601,20240409,probe00
1.8499999999999868,0.46066666666666656,2,TEa,459601,20240409,probe00
1.8499999999999868,0.6893333333333334,3,TEa,459601,20240409,probe00
1.8499999999999868,0.6666666666666665,1,VIS,459601,20240409,probe00
1.8499999999999868,0.582,2,VIS,459601,20240409,probe00
1.8499999999999868,0.38933333333333336,3,VIS,459601,20240409,probe00
-1.85,0.43733333333333335,1,CA1,459601,20240409,probe01
-1.85,0.47400000000000003,2,CA1,459601,20240409,probe01
-1.85,0.6553333333333333,3,CA1,459601,20240409,probe01
-1.8250000000000002,0.4133333333333333,1,CA1,459601,20240409,probe01
-1.8250000000000002,0.43266666666666675,2,CA1,459601,20240409,probe01
-1.8250000000000002,0.6693333333333332,3,CA1,459601,20240409,probe01
-1.8000000000000003,0.41600000000000004,1,CA1,459601,20240409,probe01
-1.8000000000000003,0.48266666666666663,2,CA1,459601,20240409,probe01
-1.8000000000000003,0.6733333333333333,3,CA1,459601,20240409,probe01
-1.7750000000000004,0.44066666666666676,1,CA1,459601,20240409,probe01
-1.7750000000000004,0.46733333333333327,2,CA1,459601,20240409,probe01
-1.7750000000000004,0.6333333333333333,3,CA1,459601,20240409,probe01
-1.7500000000000004,0.39,1,CA1,459601,20240409,probe01
-1.7500000000000004,0.5046666666666666,2,CA1,459601,20240409,probe01
-1.7500000000000004,0.5953333333333333,3,CA1,459601,20240409,probe01
-1.7250000000000005,0.4393333333333333,1,CA1,459601,20240409,probe01
-1.7250000000000005,0.4866666666666667,2,CA1,459601,20240409,probe01
-1.7250000000000005,0.5953333333333333,3,CA1,459601,20240409,probe01
-1.7000000000000006,0.4386666666666666,1,CA1,459601,20240409,probe01
-1.7000000000000006,0.48733333333333334,2,CA1,459601,20240409,probe01
-1.7000000000000006,0.5666666666666668,3,CA1,459601,20240409,probe01
-1.6750000000000007,0.41133333333333333,1,CA1,459601,20240409,probe01
-1.6750000000000007,0.5506666666666666,2,CA1,459601,20240409,probe01
-1.6750000000000007,0.5186666666666667,3,CA1,459601,20240409,probe01
-1.6500000000000008,0.4066666666666666,1,CA1,459601,20240409,probe01
-1.6500000000000008,0.49599999999999994,2,CA1,459601,20240409,probe01
-1.6500000000000008,0.5286666666666666,3,CA1,459601,20240409,probe01
-1.6250000000000009,0.3899999999999999,1,CA1,459601,20240409,probe01
-1.6250000000000009,0.5413333333333333,2,CA1,459601,20240409,probe01
-1.6250000000000009,0.49266666666666664,3,CA1,459601,20240409,probe01
-1.600000000000001,0.3993333333333332,1,CA1,459601,20240409,probe01
-1.600000000000001,0.5586666666666666,2,CA1,459601,20240409,probe01
-1.600000000000001,0.5026666666666667,3,CA1,459601,20240409,probe01
-1.575000000000001,0.43133333333333335,1,CA1,459601,20240409,probe01
-1.575000000000001,0.5720000000000001,2,CA1,459601,20240409,probe01
-1.575000000000001,0.48866666666666675,3,CA1,459601,20240409,probe01
-1.5500000000000012,0.41600000000000004,1,CA1,459601,20240409,probe01
-1.5500000000000012,0.5013333333333334,2,CA1,459601,20240409,probe01
-1.5500000000000012,0.45266666666666666,3,CA1,459601,20240409,probe01
-1.5250000000000012,0.4506666666666666,1,CA1,459601,20240409,probe01
-1.5250000000000012,0.5066666666666667,2,CA1,459601,20240409,probe01
-1.5250000000000012,0.4993333333333333,3,CA1,459601,20240409,probe01
-1.5000000000000013,0.43200000000000005,1,CA1,459601,20240409,probe01
-1.5000000000000013,0.4646666666666667,2,CA1,459601,20240409,probe01
-1.5000000000000013,0.4326666666666666,3,CA1,459601,20240409,probe01
-1.4750000000000014,0.4146666666666667,1,CA1,459601,20240409,probe01
-1.4750000000000014,0.47200000000000003,2,CA1,459601,20240409,probe01
-1.4750000000000014,0.4846666666666667,3,CA1,459601,20240409,probe01
-1.4500000000000015,0.45,1,CA1,459601,20240409,probe01
-1.4500000000000015,0.43666666666666665,2,CA1,459601,20240409,probe01
-1.4500000000000015,0.47400000000000003,3,CA1,459601,20240409,probe01
-1.4250000000000016,0.3846666666666666,1,CA1,459601,20240409,probe01
-1.4250000000000016,0.43133333333333324,2,CA1,459601,20240409,probe01
-1.4250000000000016,0.4793333333333333,3,CA1,459601,20240409,probe01
-1.4000000000000017,0.44199999999999995,1,CA1,459601,20240409,probe01
-1.4000000000000017,0.49,2,CA1,459601,20240409,probe01
-1.4000000000000017,0.442,3,CA1,459601,20240409,probe01
-1.3750000000000018,0.4506666666666666,1,CA1,459601,20240409,probe01
-1.3750000000000018,0.4726666666666667,2,CA1,459601,20240409,probe01
-1.3750000000000018,0.4726666666666667,3,CA1,459601,20240409,probe01
-1.3500000000000019,0.4013333333333333,1,CA1,459601,20240409,probe01
-1.3500000000000019,0.4759999999999999,2,CA1,459601,20240409,probe01
-1.3500000000000019,0.47200000000000003,3,CA1,459601,20240409,probe01
-1.325000000000002,0.4539999999999999,1,CA1,459601,20240409,probe01
-1.325000000000002,0.4693333333333333,2,CA1,459601,20240409,probe01
-1.325000000000002,0.45733333333333337,3,CA1,459601,20240409,probe01
-1.300000000000002,0.478,1,CA1,459601,20240409,probe01
-1.300000000000002,0.4793333333333333,2,CA1,459601,20240409,probe01
-1.300000000000002,0.46399999999999997,3,CA1,459601,20240409,probe01
-1.2750000000000021,0.4173333333333333,1,CA1,459601,20240409,probe01
-1.2750000000000021,0.4759999999999999,2,CA1,459601,20240409,probe01
-1.2750000000000021,0.47266666666666673,3,CA1,459601,20240409,probe01
-1.2500000000000022,0.4053333333333334,1,CA1,459601,20240409,probe01
-1.2500000000000022,0.5093333333333334,2,CA1,459601,20240409,probe01
-1.2500000000000022,0.5120000000000001,3,CA1,459601,20240409,probe01
-1.2250000000000023,0.316,1,CA1,459601,20240409,probe01
-1.2250000000000023,0.5,2,CA1,459601,20240409,probe01
-1.2250000000000023,0.4686666666666667,3,CA1,459601,20240409,probe01
-1.2000000000000024,0.3533333333333333,1,CA1,459601,20240409,probe01
-1.2000000000000024,0.5146666666666666,2,CA1,459601,20240409,probe01
-1.2000000000000024,0.48733333333333334,3,CA1,459601,20240409,probe01
-1.1750000000000025,0.38066666666666665,1,CA1,459601,20240409,probe01
-1.1750000000000025,0.532,2,CA1,459601,20240409,probe01
-1.1750000000000025,0.4253333333333334,3,CA1,459601,20240409,probe01
-1.1500000000000026,0.35533333333333333,1,CA1,459601,20240409,probe01
-1.1500000000000026,0.5320000000000001,2,CA1,459601,20240409,probe01
-1.1500000000000026,0.406,3,CA1,459601,20240409,probe01
-1.1250000000000027,0.37933333333333336,1,CA1,459601,20240409,probe01
-1.1250000000000027,0.5853333333333333,2,CA1,459601,20240409,probe01
-1.1250000000000027,0.43199999999999994,3,CA1,459601,20240409,probe01
-1.1000000000000028,0.38799999999999996,1,CA1,459601,20240409,probe01
-1.1000000000000028,0.54,2,CA1,459601,20240409,probe01
-1.1000000000000028,0.43266666666666664,3,CA1,459601,20240409,probe01
-1.0750000000000028,0.3819999999999999,1,CA1,459601,20240409,probe01
-1.0750000000000028,0.5146666666666667,2,CA1,459601,20240409,probe01
-1.0750000000000028,0.40999999999999986,3,CA1,459601,20240409,probe01
-1.050000000000003,0.3499999999999999,1,CA1,459601,20240409,probe01
-1.050000000000003,0.54,2,CA1,459601,20240409,probe01
-1.050000000000003,0.4193333333333334,3,CA1,459601,20240409,probe01
-1.025000000000003,0.4193333333333334,1,CA1,459601,20240409,probe01
-1.025000000000003,0.5133333333333334,2,CA1,459601,20240409,probe01
-1.025000000000003,0.4686666666666667,3,CA1,459601,20240409,probe01
-1.000000000000003,0.4533333333333333,1,CA1,459601,20240409,probe01
-1.000000000000003,0.4753333333333334,2,CA1,459601,20240409,probe01
-1.000000000000003,0.428,3,CA1,459601,20240409,probe01
-0.9750000000000032,0.4106666666666666,1,CA1,459601,20240409,probe01
-0.9750000000000032,0.48333333333333334,2,CA1,459601,20240409,probe01
-0.9750000000000032,0.3813333333333333,3,CA1,459601,20240409,probe01
-0.9500000000000033,0.44999999999999996,1,CA1,459601,20240409,probe01
-0.9500000000000033,0.4806666666666667,2,CA1,459601,20240409,probe01
-0.9500000000000033,0.3846666666666667,3,CA1,459601,20240409,probe01
-0.9250000000000034,0.4786666666666667,1,CA1,459601,20240409,probe01
-0.9250000000000034,0.45599999999999996,2,CA1,459601,20240409,probe01
-0.9250000000000034,0.4206666666666667,3,CA1,459601,20240409,probe01
-0.9000000000000035,0.5066666666666666,1,CA1,459601,20240409,probe01
-0.9000000000000035,0.5013333333333333,2,CA1,459601,20240409,probe01
-0.9000000000000035,0.4419999999999999,3,CA1,459601,20240409,probe01
-0.8750000000000036,0.4433333333333333,1,CA1,459601,20240409,probe01
-0.8750000000000036,0.456,2,CA1,459601,20240409,probe01
-0.8750000000000036,0.47733333333333333,3,CA1,459601,20240409,probe01
-0.8500000000000036,0.45266666666666666,1,CA1,459601,20240409,probe01
-0.8500000000000036,0.452,2,CA1,459601,20240409,probe01
-0.8500000000000036,0.514,3,CA1,459601,20240409,probe01
-0.8250000000000037,0.4026666666666667,1,CA1,459601,20240409,probe01
-0.8250000000000037,0.474,2,CA1,459601,20240409,probe01
-0.8250000000000037,0.5326666666666666,3,CA1,459601,20240409,probe01
-0.8000000000000038,0.4646666666666666,1,CA1,459601,20240409,probe01
-0.8000000000000038,0.474,2,CA1,459601,20240409,probe01
-0.8000000000000038,0.4493333333333333,3,CA1,459601,20240409,probe01
-0.7750000000000039,0.49266666666666664,1,CA1,459601,20240409,probe01
-0.7750000000000039,0.4706666666666666,2,CA1,459601,20240409,probe01
-0.7750000000000039,0.48666666666666664,3,CA1,459601,20240409,probe01
-0.750000000000004,0.4513333333333333,1,CA1,459601,20240409,probe01
-0.750000000000004,0.4606666666666666,2,CA1,459601,20240409,probe01
-0.750000000000004,0.46666666666666656,3,CA1,459601,20240409,probe01
-0.7250000000000041,0.4706666666666666,1,CA1,459601,20240409,probe01
-0.7250000000000041,0.4433333333333333,2,CA1,459601,20240409,probe01
-0.7250000000000041,0.4906666666666666,3,CA1,459601,20240409,probe01
-0.7000000000000042,0.4993333333333333,1,CA1,459601,20240409,probe01
-0.7000000000000042,0.44600000000000006,2,CA1,459601,20240409,probe01
-0.7000000000000042,0.4833333333333332,3,CA1,459601,20240409,probe01
-0.6750000000000043,0.5746666666666668,1,CA1,459601,20240409,probe01
-0.6750000000000043,0.44599999999999995,2,CA1,459601,20240409,probe01
-0.6750000000000043,0.5306666666666667,3,CA1,459601,20240409,probe01
-0.6500000000000044,0.5706666666666667,1,CA1,459601,20240409,probe01
-0.6500000000000044,0.5153333333333333,2,CA1,459601,20240409,probe01
-0.6500000000000044,0.5846666666666667,3,CA1,459601,20240409,probe01
-0.6250000000000044,0.44600000000000006,1,CA1,459601,20240409,probe01
-0.6250000000000044,0.4953333333333333,2,CA1,459601,20240409,probe01
-0.6250000000000044,0.5760000000000001,3,CA1,459601,20240409,probe01
-0.6000000000000045,0.41,1,CA1,459601,20240409,probe01
-0.6000000000000045,0.5159999999999999,2,CA1,459601,20240409,probe01
-0.6000000000000045,0.6106666666666667,3,CA1,459601,20240409,probe01
-0.5750000000000046,0.3673333333333333,1,CA1,459601,20240409,probe01
-0.5750000000000046,0.518,2,CA1,459601,20240409,probe01
-0.5750000000000046,0.6486666666666667,3,CA1,459601,20240409,probe01
-0.5500000000000047,0.4133333333333333,1,CA1,459601,20240409,probe01
-0.5500000000000047,0.4813333333333334,2,CA1,459601,20240409,probe01
-0.5500000000000047,0.5653333333333334,3,CA1,459601,20240409,probe01
-0.5250000000000048,0.35999999999999993,1,CA1,459601,20240409,probe01
