switch,context,distance,position,subject,date,probe,lda_pos,region
0,2,1.2480611048737118e+16,460,459601,20240409,probe00,600,Cortex
1,1,-795369491990063.5,460,459601,20240409,probe00,600,Cortex
1,2,-995925353459818.6,460,459601,20240409,probe00,600,Cortex
0,1,-1538538018068798.0,470,459601,20240409,probe00,600,Cortex
0,2,3277937215142032.5,470,459601,20240409,probe00,600,Cortex
1,1,-878849318189391.4,470,459601,20240409,probe00,600,Cortex
1,2,-1095635432942848.0,470,459601,20240409,probe00,600,Cortex
0,1,-924282451786824.6,480,459601,20240409,probe00,600,Cortex
0,2,-1082972012372870.4,480,459601,20240409,probe00,600,Cortex
1,1,-593671840091987.0,480,459601,20240409,probe00,600,Cortex
1,2,-730720573082374.4,480,459601,20240409,probe00,600,Cortex
0,1,-436493066493775.4,490,459601,20240409,probe00,600,Cortex
0,2,-550842785404661.0,490,459601,20240409,probe00,600,Cortex
1,1,-264024815000229.44,490,459601,20240409,probe00,600,Cortex
1,2,-354097866327222.1,490,459601,20240409,probe00,600,Cortex
0,1,-166076754441442.06,500,459601,20240409,probe00,600,Cortex
0,2,-223477539717011.03,500,459601,20240409,probe00,600,Cortex
1,1,-109814125736351.0,500,459601,20240409,probe00,600,Cortex
1,2,-129806035285110.22,500,459601,20240409,probe00,600,Cortex
0,1,-49790739243260.555,510,459601,20240409,probe00,600,Cortex
0,2,-61693507816393.164,510,459601,20240409,probe00,600,Cortex
1,1,-35871054503110.766,510,459601,20240409,probe00,600,Cortex
1,2,-35624170508975.266,510,459601,20240409,probe00,600,Cortex
0,1,-11633639214581.812,520,459601,20240409,probe00,600,Cortex
0,2,-11802784182146.889,520,459601,20240409,probe00,600,Cortex
1,1,-7156362334511.173,520,459601,20240409,probe00,600,Cortex
1,2,-7026186493295.6455,520,459601,20240409,probe00,600,Cortex
0,1,-1527345046227.2122,530,459601,20240409,probe00,600,Cortex
0,2,-1718130936588.909,530,459601,20240409,probe00,600,Cortex
1,1,-1104844836696.6252,530,459601,20240409,probe00,600,Cortex
1,2,-1037349182737.1615,530,459601,20240409,probe00,600,Cortex
0,1,-137693918682.4715,540,459601,20240409,probe00,600,Cortex
0,2,-168300445858.60065,540,459601,20240409,probe00,600,Cortex
1,1,-123013069214.4241,540,459601,20240409,probe00,600,Cortex
1,2,-102848314403.90077,540,459601,20240409,probe00,600,Cortex
0,1,-10449970406.524527,550,459601,20240409,probe00,600,Cortex
0,2,-11231311368.668394,550,459601,20240409,probe00,600,Cortex
1,1,-9526691254.280542,550,459601,20240409,probe00,600,Cortex
1,2,-6800519494.440742,550,459601,20240409,probe00,600,Cortex
0,1,-460569657.48754084,560,459601,20240409,probe00,600,Cortex
0,2,-427642056.420763,560,459601,20240409,probe00,600,Cortex
1,1,-431868949.45445585,560,459601,20240409,probe00,600,Cortex
1,2,-305119879.15059876,560,459601,20240409,probe00,600,Cortex
0,1,-12621499.213130882,570,459601,20240409,probe00,600,Cortex
0,2,-12492037.620730137,570,459601,20240409,probe00,600,Cortex
1,1,-12481838.329817472,570,459601,20240409,probe00,600,Cortex
1,2,-9052192.091197418,570,459601,20240409,probe00,600,Cortex
0,1,-259036.6008515791,580,459601,20240409,probe00,600,Cortex
0,2,-861784.2025639546,580,459601,20240409,probe00,600,Cortex
1,1,-267259.43489830324,580,459601,20240409,probe00,600,Cortex
1,2,-157035.94329785503,580,459601,20240409,probe00,600,Cortex
0,1,-2551.370463307835,590,459601,20240409,probe00,600,Cortex
0,2,-532724.5963894638,590,459601,20240409,probe00,600,Cortex
1,1,-3060.2297576901983,590,459601,20240409,probe00,600,Cortex
1,2,-1154.0114413910635,590,459601,20240409,probe00,600,Cortex
0,1,-58.62183355029276,600,459601,20240409,probe00,600,Cortex
0,2,60.137863264580346,600,459601,20240409,probe00,600,Cortex
1,1,-59.612600487344515,600,459601,20240409,probe00,600,Cortex
1,2,58.926302286630026,600,459601,20240409,probe00,600,Cortex
0,1,149.14744695436428,610,459601,20240409,probe00,600,Cortex
0,2,468.9913610913223,610,459601,20240409,probe00,600,Cortex
1,1,155.30224291258293,610,459601,20240409,probe00,600,Cortex
1,2,299.7794026553741,610,459601,20240409,probe00,600,Cortex
0,1,2707.571241633449,620,459601,20240409,probe00,600,Cortex
0,2,5919.185062481161,620,459601,20240409,probe00,600,Cortex
1,1,2756.8114861079666,620,459601,20240409,probe00,600,Cortex
1,2,3045.730072299374,620,459601,20240409,probe00,600,Cortex
0,1,36531.16377052046,630,459601,20240409,probe00,600,Cortex
0,2,75632.97675005005,630,459601,20240409,probe00,600,Cortex
1,1,41482.98482007222,630,459601,20240409,probe00,600,Cortex
1,2,42747.58881833035,630,459601,20240409,probe00,600,Cortex
0,1,459572.7423606414,640,459601,20240409,probe00,600,Cortex
0,2,920805.4259300585,640,459601,20240409,probe00,600,Cortex
1,1,553868.2348826176,640,459601,20240409,probe00,600,Cortex
1,2,529940.6057280367,640,459601,20240409,probe00,600,Cortex
0,1,5448074.022906782,650,459601,20240409,probe00,600,Cortex
0,2,10307051.97860806,650,459601,20240409,probe00,600,Cortex
1,1,6789204.221806826,650,459601,20240409,probe00,600,Cortex
1,2,5996954.526582219,650,459601,20240409,probe00,600,Cortex
0,1,61924478.14331491,660,459601,20240409,probe00,600,Cortex
0,2,103975253.46577914,660,459601,20240409,probe00,600,Cortex
1,1,31759712.831534307,660,459601,20240409,probe00,600,Cortex
1,2,62267598.601469584,660,459601,20240409,probe00,600,Cortex
0,1,674030425.3127186,670,459601,20240409,probe00,600,Cortex
0,2,937071151.1957601,670,459601,20240409,probe00,600,Cortex
1,1,633170505.4204061,670,459601,20240409,probe00,600,Cortex
1,2,668470034.7712915,670,459601,20240409,probe00,600,Cortex
0,1,6702199605.068533,680,459601,20240409,probe00,600,Cortex
0,2,7497199833.449693,680,459601,20240409,probe00,600,Cortex
1,1,7434679221.470661,680,459601,20240409,probe00,600,Cortex
1,2,6402319297.35709,680,459601,20240409,probe00,600,Cortex
0,1,59916536618.52242,690,459601,20240409,probe00,600,Cortex
0,2,51861428371.672104,690,459601,20240409,probe00,600,Cortex
1,1,63003857447.05923,690,459601,20240409,probe00,600,Cortex
1,2,52435716477.91783,690,459601,20240409,probe00,600,Cortex
0,1,495719571698.08545,700,459601,20240409,probe00,600,Cortex
0,2,296729285507.78937,700,459601,20240409,probe00,600,Cortex
1,1,404330367084.2384,700,459601,20240409,probe00,600,Cortex
1,2,352856607830.7008,700,459601,20240409,probe00,600,Cortex
0,1,2964972552622.1284,710,459601,20240409,probe00,600,Cortex
0,2,1312985606320.9143,710,459601,20240409,probe00,600,Cortex
1,1,1903621082179.6653,710,459601,20240409,probe00,600,Cortex
1,2,1784962959660.6028,710,459601,20240409,probe00,600,Cortex
